Variable,device_pv_name,pv_unit
Charge_inj,FBCK:BCI0:1:CHRGSP,nC
Charge_BC1,SIOC:SYS0:ML00:CALC254,pC
BC1_col_left,COLL:LI21:235:MOTR.VAL,mm
BC1_col_right,COLL:LI21:236:MOTR.VAL,mm
L1B_amplitude,ACCL:LI21:1:L1S_S_AV,MV
L1B_phase,ACCL:LI21:1:L1S_S_PV,deg
L1X_amplitude,ACCL:LI21:180:L1X_S_AV,MV
L1X_phase,ACCL:LI21:180:L1X_S_PV,deg
L2B_amplitude,ACCL:LI22:1:ADES,MV
L2B_phase,ACCL:LI22:1:PDES,deg
L3B_amplitude,ACCL:LI25:1:ADES,MV
L3B_phase,ACCL:LI25:1:PDES,deg
BX11,BEND:LI21:215:BACT,kG-m
BX12,BEND:LI21:231:BACT,kG-m
BX13,BEND:LI21:241:BACT,kG-m
BX14,BEND:LI21:261:BACT,kG-m
BC1_current,BLEN:LI21:265:AIMAXCUH1H,A
BX21,BEND:LI24:720:BACT,kG-m
BX22,BEND:LI24:790:BACT,kG-m
BX23,BEND:LI24:810:BACT,kG-m
BX24,BEND:LI24:880:BACT,kG-m
BC2_current,BLEN:LI24:886:BIMAXCUH1H,A
DL1_energy,REFS:IN20:751:EDES,GeV
BC1_energy,REFS:LI21:231:EDES,GeV
BC2_energy,REFS:LI24:790:EDES,GeV
